provider_id,provider_name,specialty,state,npi,ingestion_timestamp,source_system,source_file_name,bronze_table_name
PR0001,Nichols Group,Cardiology,FL,5932246524,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0002,"Jenkins, Wilkerson and Thomas",Orthopedics,NY,2889604145,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0003,Flowers-Sandoval,Oncology,FL,521498059,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0004,Nunez-Pierce,Radiology,FL,8824906256,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0005,Miller PLC,Primary Care,NY,3761147484,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0006,Young-Wright,Neurology,FL,1000041046,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0007,"Frye, Moore and Marks",Neurology,TX,1365906247,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0008,"Johnson, Rivera and Palmer",Dermatology,GA,6440308792,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0009,Warren-Cook,Orthopedics,GA,5008912769,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0010,"Henry, Ruiz and Perez",Primary Care,IL,9315049277,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0011,"Rice, Hutchinson and Greer",Radiology,AZ,3029034443,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0012,"Ferguson, Simpson and Swanson",Primary Care,NY,9592206949,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
PR0013,Anderson LLC,Oncology,TX,6822308211,2026-06-01 02:31:33.954119,healthcare_claims_csv,file:///opt/airflow/data/raw/providers.csv,providers
